PM2.5,PM10,NO2,NH3,SO2,CO,OZONE
45,NA,23,NA,9,6,10
139,151,80,9,32,19,34
151,NA,14,NA,10,47,26
44,55,3,1,49,27,10
58,194,47,7,30,118,7
104,76,39,6,11,41,6
62,55,55,8,12,21,54
109,93,83,9,10,99,8
211,150,45,8,5,56,5
139,100,37,3,28,39,69
107,148,65,10,29,75,18
234,NA,NA,NA,41,55,32
54,65,14,9,7,27,14
NA,NA,NA,NA,NA,103,24
173,NA,85,NA,9,43,13
126,84,57,12,17,135,11
105,64,6,4,6,20,21
49,45,42,16,4,33,9
NA,NA,32,3,17,15,13
85,70,39,23,55,22,8
69,58,22,2,17,20,12
202,175,20,13,NA,39,30
106,105,68,22,30,35,24
166,97,7,8,8,27,13
43,NA,22,NA,9,7,10
138,147,79,9,33,21,35
146,NA,14,NA,10,49,27
44,54,3,1,49,29,9
55,177,48,7,30,118,7
101,74,41,6,10,46,6
79,98,11,2,29,NA,18
85,112,11,2,28,NA,38
78,120,10,2,32,NA,33
77,121,10,2,31,NA,41
94,145,11,2,30,NA,25
97,148,11,2,30,NA,21
131,165,11,2,28,NA,38
131,165,12,2,29,NA,42
33,NA,23,NA,7,46,27
88,NA,46,NA,7,24,21
36,56,40,1,10,34,58
NA,93,54,NA,12,96,NA
48,70,32,2,10,37,43
43,69,23,5,13,56,57
42,77,43,3,4,68,41
56,NA,39,5,4,61,NA
NA,41,10,NA,9,44,NA
48,71,18,3,4,57,25
68,94,40,1,3,25,1
57,45,29,8,7,29,44
29,50,26,2,35,37,17
51,49,24,1,24,49,27
56,NA,NA,NA,11,39,42
139,NA,46,NA,8,44,25
97,104,55,1,11,19,182
NA,105,68,NA,13,90,NA
117,108,39,4,8,22,81
129,116,24,6,14,62,102
121,161,62,4,NA,56,66
127,NA,49,6,5,52,NA
NA,43,10,NA,5,46,NA
NA,NA,NA,NA,NA,48,32
92,105,47,1,3,12,1
50,39,15,4,6,16,69
65,79,29,2,33,25,27
100,78,16,1,22,34,50
22,NA,NA,NA,6,31,21
77,NA,41,NA,8,35,9
NA,NA,NA,NA,NA,NA,NA
NA,86,57,NA,12,95,NA
56,70,33,3,15,52,16
53,68,21,5,14,60,45
51,84,48,3,NA,89,27
59,NA,36,5,4,62,NA
NA,45,12,NA,3,47,NA
NA,NA,NA,NA,NA,50,24
NA,NA,NA,NA,NA,38,42
62,83,29,1,3,19,1
51,40,16,5,6,20,33
39,43,17,2,30,18,20
99,79,16,1,20,48,31
22,NA,NA,NA,7,31,24
74,NA,43,NA,8,25,10
NA,NA,NA,NA,NA,64,45
NA,86,56,NA,12,94,NA
54,71,36,3,15,56,17
50,66,22,5,14,60,51
48,80,48,3,NA,96,30
60,NA,36,5,4,59,NA
NA,46,12,NA,3,46,NA
NA,NA,NA,NA,NA,49,24
NA,NA,NA,NA,NA,44,40
63,87,31,1,3,19,1
50,40,16,5,6,16,45
37,43,17,2,30,19,23
98,78,16,1,19,43,49
21,NA,NA,NA,7,29,24
